filename,total green pixels,red pixels (4 cm^2),leaf area cm^2
546.JPG,4732,710,6.66
547.JPG,711,194,3.66
548.JPG,4200,195,21.54
549.JPG,674,191,3.53
55.JPG,3209,210,15.28
550.JPG,5051,170,29.71
551.JPG,1575,197,7.99
552.JPG,2508,188,13.34
553.JPG,999,195,5.12
554.JPG,1455,193,7.54
555.JPG,630,196,3.21
557.JPG,1557,196,7.94
558.JPG,2172,192,11.31
559.JPG,905,192,4.71
56.JPG,11146,196,56.87
560.JPG,2064,179,11.53
561.JPG,622,195,3.19
562.JPG,2776,190,14.61
564.JPG,1594,183,8.71
565.JPG,591,188,3.14
566.JPG,2759,190,14.52
567.JPG,397,197,2.02
568.JPG,2633,182,14.47
569.JPG,338,197,1.72
57.JPG,1456,211,6.9
570.JPG,1863,191,9.75
571.JPG,1002,200,5.01
572.JPG,5894,192,30.7
573.JPG,1224,197,6.21
574.JPG,2552,307,8.31
575.JPG,1467,204,7.19
576.JPG,3760,194,19.38
577.JPG,1299,198,6.56
578.JPG,1711,179,9.56
579.JPG,895,202,4.43
58.JPG,8253,224,36.84
580.JPG,1316,181,7.27
581.JPG,502,166,3.02
582.JPG,2775,185,15
583.JPG,462,188,2.46
584.JPG,2118,193,10.97
585.JPG,432,190,2.27
586.JPG,2476,184,13.46
587.JPG,313,193,1.62
588.JPG,2365,183,12.92
589.JPG,400,149,2.68
59.JPG,1067,223,4.78
590.JPG,2416,166,14.55
591.JPG,1292,182,7.1
592.JPG,3729,177,21.07
593.JPG,903,187,4.83
594.JPG,199,180,1.11
595.JPG,1203,194,6.2
596.JPG,3213,181,17.75
597.JPG,1546,188,8.22
598.JPG,2355,181,13.01
6.JPG,4902,196,25.01
63.JPG,767,211,3.64
64.JPG,4604,223,20.65
65.JPG,826,225,3.67
66.JPG,3777,210,17.99
67.JPG,700,197,3.55
68.JPG,4638,221,20.99
69.JPG,830,222,3.74
7.JPG,565,210,2.69
70.JPG,3822,210,18.2
71.JPG,930,210,4.43
72.JPG,8960,224,40
73.JPG,733,224,3.27
74.JPG,1973,210,9.4
75.JPG,1020,222,4.59
76.JPG,7377,214,34.47
77.JPG,1814,219,8.28
78.JPG,3891,221,17.61
79.JPG,1405,210,6.69
8.JPG,5551,217,25.58
80.JPG,5012,225,22.28
81.JPG,694,196,3.54
82.JPG,5485,189,29.02
83.JPG,1020,190,5.37
85.JPG,1071,192,5.58
86.JPG,8925,198,45.08
87.JPG,791,197,4.02
88.JPG,6031,188,32.08
89.JPG,766,183,4.19
9.JPG,597,210,2.84
90.JPG,7227,196,36.87
91.JPG,1626,192,8.47
92.JPG,12001,196,61.23
93.JPG,2026,194,10.44
94.JPG,4611,200,23.05
95.JPG,975,197,4.95
96.JPG,4661,194,24.03
97.JPG,1556,197,7.9
98.JPG,6318,196,32.23
99.JPG,2430,190,12.79
