Sample ID,d13C,C Amount (ug),d13C Comment,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,Amount (mg),OurLabID,Analysis Number
150,-33.18,677.64,,2.58,32.15,,Bd-d13-tray1,H5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.848,1257271,403795
280,-30.81,734.10,,3.23,27.70,,Bd-d13-tray1,H6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.923,1257272,403796
288,-32.81,603.67,,1.98,23.27,,Bd-d13-tray1,H7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.036,1257273,403797
386,-33.30,837.21,,0.96,39.93,,Bd-d13-tray1,H8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.079,1257274,403798
488,-33.50,635.84,,3.30,25.27,,Bd-d13-tray1,H9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.836,1257275,403799
598,-29.72,738.79,,2.16,31.82,,Bd-d13-tray1,H10,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.123,1257276,403800
266,-32.56,746.62,,2.74,37.73,,Bd-d13-tray1,H11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.856,1257277,403801
86,-33.33,670.53,,1.58,40.03,,Bd-d13-tray1,H12,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.82,1257278,403802
398,-31.52,747.35,,1.55,27.60,,Bd-d13-tray2,A1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.104,1257279,402657
112,-30.60,592.23,,3.20,20.91,,Bd-d13-tray2,A2,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.004,1257280,402658
372,-30.69,757.02,,1.47,24.26,,Bd-d13-tray2,A3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.212,1257281,402659
26,-32.15,667.94,,2.41,32.45,,Bd-d13-tray2,A4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.817,1257282,402660
188,-33.48,693.14,,1.89,39.27,,Bd-d13-tray2,A5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.81,1257283,402661
6,-31.83,718.32,,2.11,44.12,,Bd-d13-tray2,A6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.99,1257284,402662
114,-31.53,770.56,,2.94,36.73,,Bd-d13-tray2,A7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.1,1257285,402663
218,-31.97,722.19,,1.26,27.60,,Bd-d13-tray2,A8,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.816,1257286,402664
184,-33.44,706.70,,0.63,43.08,,Bd-d13-tray2,A9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.894,1257287,402665
196,-31.86,762.83,,1.18,27.83,,Bd-d13-tray2,A10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.884,1257288,402666
364,-33.35,191.71,,0.26,12.26,Precision decreases for samples containing less than 20ugN,Bd-d13-tray2,A11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.991,1257289,402667
464,-33.24,747.35,,1.85,43.66,,Bd-d13-tray2,A12,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.963,1257290,402668
586,-33.65,907.58,,1.75,45.51,,Bd-d13-tray2,B1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.217,1257291,402672
282,-32.72,667.94,,2.51,25.18,,Bd-d13-tray2,B2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.795,1257292,402673
206,-32.27,726.06,,-1.08,37.07,,Bd-d13-tray2,B3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.827,1257293,402674
262,-31.98,830.45,,3.62,41.81,,Bd-d13-tray2,B4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.995,1257294,402675
190,-33.32,805.35,,0.67,44.47,,Bd-d13-tray2,B5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.105,1257295,402676
472,-30.61,832.38,,2.55,25.99,,Bd-d13-tray2,B6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.117,1257296,402677
22,-32.18,807.28,,3.56,44.58,,Bd-d13-tray2,B7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.064,1257297,402678
588,-32.97,832.38,,2.46,39.85,,Bd-d13-tray2,B8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.187,1257298,402679
16,-30.37,722.19,,1.39,34.99,,Bd-d13-tray2,B9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.835,1257299,402680
342,-32.47,666.00,,1.78,34.99,,Bd-d13-tray2,B10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.938,1257300,402681
40,-30.72,774.43,,2.74,36.15,,Bd-d13-tray2,B11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.036,1257301,402682
582,-32.83,809.21,,1.74,41.58,,Bd-d13-tray2,B12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.03,1257302,402683
2,-32.57,870.96,,2.92,46.78,,Bd-d13-tray2,C1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.164,1257303,402686
4,-33.68,745.42,,0.64,51.63,,Bd-d13-tray2,C2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.99,1257304,402687
298,-31.97,675.69,,2.06,27.83,,Bd-d13-tray2,C3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.887,1257305,402688
18,-29.92,729.93,,3.04,32.22,,Bd-d13-tray2,C4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.929,1257306,402689
212,-30.28,782.16,,0.64,26.33,,Bd-d13-tray2,C5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.93,1257307,402690
294,-32.25,764.76,,0.30,33.95,,Bd-d13-tray2,C6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.936,1257308,402691
12,-31.02,718.32,,2.08,27.95,,Bd-d13-tray2,C7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.961,1257309,402692
50,-33.47,712.51,,2.18,51.29,,Bd-d13-tray2,C8,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.887,1257310,402693
36,-30.40,718.32,,3.41,28.76,,Bd-d13-tray2,C9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.057,1257311,402694
462,-32.32,815.00,,3.02,38.34,,Bd-d13-tray2,C10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.953,1257312,402695
8,-32.98,786.03,,3.16,37.42,,Bd-d13-tray2,C11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.991,1257313,402696
468,-32.69,757.02,,2.16,33.61,,Bd-d13-tray2,C12,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.933,1257314,402697
548,-33.04,710.57,,3.29,29.80,,Bd-d13-tray2,D1,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.789,1257315,402701
200,-31.81,617.49,,1.26,27.26,,Bd-d13-tray2,D2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.772,1257316,402702
470,-32.60,772.49,,1.64,35.80,,Bd-d13-tray2,D3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.924,1257317,402703
568,-32.90,753.15,,3.24,37.07,,Bd-d13-tray2,D4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.853,1257318,402704
192,-31.15,834.31,,2.93,22.76,,Bd-d13-tray2,D5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.082,1257319,402705
478,-30.48,787.96,,2.51,27.49,,Bd-d13-tray2,D6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.12,1257320,402706
584,-33.68,743.48,,3.26,38.23,,Bd-d13-tray2,D7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.913,1257321,402707
220,-31.22,667.94,,2.89,26.80,,Bd-d13-tray2,D8,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.788,1257322,402708
182,-32.24,786.03,,1.24,48.86,,Bd-d13-tray2,D9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.892,1257323,402709
198,-30.70,749.29,,1.79,41.00,,Bd-d13-tray2,D10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.985,1257324,402710
596,-31.86,768.63,,2.80,29.34,,Bd-d13-tray2,D11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.045,1257325,402711
414,-30.36,797.62,,2.42,31.99,,Bd-d13-tray2,D12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.173,1257326,402712
324,-33.13,876.04,,2.48,42.35,,Bd-d13-tray2,E1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.202,1257327,403806
330,-32.12,806.02,,2.72,34.47,,Bd-d13-tray2,E2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.92,1257328,403807
336,-30.10,671.80,,3.28,23.06,,Bd-d13-tray2,E3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.836,1257329,403808
334,-31.30,785.75,,2.20,32.35,,Bd-d13-tray2,E4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.974,1257330,403809
404,-33.33,645.95,,2.89,32.62,,Bd-d13-tray2,E5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.829,1257331,403810
328,-32.99,733.12,,2.91,24.03,,Bd-d13-tray2,E6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.825,1257332,403811
408,-32.65,650.90,,2.79,27.79,,Bd-d13-tray2,E7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.883,1257333,403812
418,-30.41,694.26,,2.80,26.25,,Bd-d13-tray2,E8,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.978,1257334,403813
402,-32.41,802.87,,2.77,39.47,,Bd-d13-tray2,E9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.031,1257335,403814
406,-32.79,800.47,,0.64,40.16,,Bd-d13-tray2,E10,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.036,1257336,403815
434,-30.69,712.02,,2.56,28.09,,Bd-d13-tray2,E11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.797,1257337,403816
410,-32.69,813.41,,1.09,39.66,,Bd-d13-tray2,E12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.069,1257338,403817
420,-31.24,671.26,,3.21,33.50,,Bd-d13-tray2,F1,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.821,1257339,403821
412,-30.50,864.09,,3.03,27.45,,Bd-d13-tray2,F2,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.184,1257340,403822
416,-30.34,830.14,,2.86,38.21,,Bd-d13-tray2,F3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.192,1257341,403823
438,-31.03,751.94,,2.82,30.65,,Bd-d13-tray2,F4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.946,1257342,403824
426,-32.91,742.09,,2.13,38.70,,Bd-d13-tray2,F5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.844,1257343,403825
424,-32.71,745.24,,2.15,40.72,,Bd-d13-tray2,F6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.89,1257344,403826
80,-31.87,784.65,,3.11,30.48,,Bd-d13-tray2,F7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.088,1257345,403827
428,-32.32,759.70,,2.60,33.82,,Bd-d13-tray2,F8,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.923,1257346,403828
78,-31.42,712.19,,3.05,30.73,,Bd-d13-tray2,F9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.938,1257347,403829
66,-32.82,758.27,,1.87,33.31,,Bd-d13-tray2,F10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.948,1257348,403830
72,-31.16,809.73,,3.26,23.21,,Bd-d13-tray2,F11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.027,1257349,403831
254,-31.74,664.75,,3.28,31.24,,Bd-d13-tray2,F12,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.956,1257350,403832
258,-31.32,678.80,,3.18,25.80,,Bd-d13-tray2,G1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.146,1257351,403854
242,-32.90,797.79,,3.42,37.86,,Bd-d13-tray2,G2,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.111,1257352,403855
252,-30.59,890.70,,3.27,25.00,,Bd-d13-tray2,G3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.232,1257353,403856
162,-32.01,691.25,,3.83,25.75,,Bd-d13-tray2,G4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.852,1257354,403857
246,-32.72,772.99,,2.68,35.87,,Bd-d13-tray2,G5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.999,1257355,403858
164,-33.35,716.80,,3.42,34.40,,Bd-d13-tray2,G6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.956,1257356,403859
180,-31.18,777.70,,3.79,27.40,,Bd-d13-tray2,G7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.97,1257357,403860
166,-33.02,785.40,,2.47,30.36,,Bd-d13-tray2,G8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.04,1257358,403861
178,-30.99,640.78,,3.89,20.74,,Bd-d13-tray2,G9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.913,1257359,403862
170,-32.87,760.65,,3.58,28.86,,Bd-d13-tray2,G10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.984,1257360,403863
168,-32.53,837.86,,3.36,30.75,,Bd-d13-tray2,G11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.127,1257361,403864
154,-30.84,403.31,,2.37,20.64,,Bd-d13-tray2,G12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.157,1257362,403865
174,-31.28,722.07,,3.51,33.89,,Bd-d13-tray2,H1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.155,1257363,403869
172,-31.06,780.02,,3.32,22.74,,Bd-d13-tray2,H2,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.073,1257364,403870
176,-30.12,618.88,,4.16,17.80,Precision decreases for samples containing less than 20ugN,Bd-d13-tray2,H3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.996,1257365,403871
148,-32.87,691.59,,2.96,34.86,,Bd-d13-tray2,H4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.956,1257366,403872
158,-31.03,704.83,,2.77,26.85,,Bd-d13-tray2,H5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.106,1257367,403873
76,-31.57,757.28,,3.06,28.57,,Bd-d13-tray2,H6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.061,1257368,403874
68,-33.31,801.88,,3.51,33.18,,Bd-d13-tray2,H7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.224,1257369,403875
64,-33.18,810.38,,3.27,54.36,,Bd-d13-tray2,H8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.054,1257370,403876
70,-32.94,767.36,,2.84,37.04,,Bd-d13-tray2,H9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.06,1257371,403877
